ts,prn,S4c,ROTI,VTEC,station
2026-02-12T03:04:32Z,G31,0.017647724012562517,,,CPN1
2026-02-12T03:04:32Z,R06,0.0022175718601409717,,,CPN1
2026-02-12T03:04:32Z,R07,0.0016415721830748504,,,CPN1
2026-02-12T03:04:32Z,R08,0.006629069448578709,,,CPN1
2026-02-12T03:04:32Z,R09,0.002339935694671415,,,CPN1
2026-02-12T03:04:32Z,R10,0.011791235826488899,,,CPN1
2026-02-12T03:04:32Z,R16,0.023885100671911682,,,CPN1
2026-02-12T03:04:32Z,R18,0.0165561944906334,,,CPN1
2026-02-12T03:04:32Z,R19,0.0021311958679990136,,,CPN1
2026-02-12T03:04:32Z,R20,0.0017714535344689327,,,CPN1
2026-02-12T03:04:32Z,C40,0.0016737646797971727,,,CPN1
2026-02-12T03:04:32Z,G01,0.00671248340700266,,,CPN1
2026-02-12T03:04:32Z,G04,0.002874387407064054,,,CPN1
2026-02-12T03:04:32Z,G07,0.007995745966445268,,,CPN1
2026-02-12T03:04:32Z,G08,0.0017061743455012589,,,CPN1
2026-02-12T03:04:32Z,G09,0.0015314306668176927,,,CPN1
2026-02-12T03:04:32Z,G14,0.016119758435222405,,,CPN1
2026-02-12T03:04:32Z,G16,0.16938687636100722,,,CPN1
2026-02-12T03:04:32Z,G27,0.002709517241104087,,,CPN1
2026-02-12T03:04:32Z,G31,0.018061906321916992,,,CPN1
2026-02-12T03:04:32Z,R06,0.0023630692950456196,,,CPN1
2026-02-12T03:04:32Z,R07,0.0016415721830748504,,,CPN1
2026-02-12T03:04:32Z,R08,0.006600819206299919,,,CPN1
2026-02-12T03:04:32Z,R09,0.002516465461377765,,,CPN1
2026-02-12T03:04:32Z,R10,0.012199277316573488,,,CPN1
2026-02-12T03:04:32Z,R16,0.02455643287506384,,,CPN1
2026-02-12T03:04:32Z,R18,0.018008469564470945,,,CPN1
2026-02-12T03:04:32Z,R19,0.002119718906171081,,,CPN1
2026-02-12T03:04:32Z,R20,0.0017446585634868766,,,CPN1
2026-02-12T03:04:32Z,C40,0.001695325744732381,,,CPN1
2026-02-12T03:04:34Z,G01,0.006613169340617018,,,CPN1
2026-02-12T03:04:34Z,G04,0.002678853666206965,,,CPN1
2026-02-12T03:04:34Z,G07,0.007999181527908836,,,CPN1
2026-02-12T03:04:34Z,G08,0.001685410705955076,,,CPN1
2026-02-12T03:04:34Z,G09,0.0017058273178275545,,,CPN1
2026-02-12T03:04:34Z,G14,0.016824767857227543,,,CPN1
2026-02-12T03:04:34Z,G16,0.1829008017829993,,,CPN1
2026-02-12T03:04:34Z,G27,0.0030566575555614445,,,CPN1
2026-02-12T03:04:34Z,G31,0.019033946434185135,,,CPN1
2026-02-12T03:04:34Z,R06,0.0024963137745174224,,,CPN1
2026-02-12T03:04:34Z,R07,0.0016415721830748504,,,CPN1
2026-02-12T03:04:34Z,R08,0.006867426870459323,,,CPN1
2026-02-12T03:04:34Z,R09,0.003071061848200245,,,CPN1
2026-02-12T03:04:34Z,R10,0.012740637802262027,,,CPN1
2026-02-12T03:04:34Z,R16,0.026566963655651893,,,CPN1
2026-02-12T03:04:34Z,R18,0.01902516911202211,,,CPN1
2026-02-12T03:04:34Z,R19,0.0021064217889865495,,,CPN1
2026-02-12T03:04:34Z,R20,0.001868824193347505,,,CPN1
2026-02-12T03:04:34Z,C40,0.0018941204488361302,,,CPN1
2026-02-12T03:04:34Z,G01,0.006505600791079945,,,CPN1
2026-02-12T03:04:34Z,G04,0.002472258607407841,,,CPN1
2026-02-12T03:04:34Z,G07,0.007593749022334889,,,CPN1
2026-02-12T03:04:34Z,G08,0.001685410705955076,,,CPN1
2026-02-12T03:04:34Z,G09,0.0018507026677098218,,,CPN1
2026-02-12T03:04:34Z,G14,0.018530576221587068,,,CPN1
2026-02-12T03:04:34Z,G16,0.19087785877938912,,,CPN1
2026-02-12T03:04:34Z,G27,0.0031345512729991924,,,CPN1
2026-02-12T03:04:34Z,G31,0.019892198459882163,,,CPN1
2026-02-12T03:04:34Z,R06,0.0025860782169852903,,,CPN1
2026-02-12T03:04:34Z,R07,0.001713790800493247,,,CPN1
2026-02-12T03:04:34Z,R08,0.007077862509339642,,,CPN1
2026-02-12T03:04:34Z,R09,0.0034347441332112675,,,CPN1
2026-02-12T03:04:34Z,R10,0.013252966269779183,,,CPN1
2026-02-12T03:04:34Z,R16,0.029866590573987148,,,CPN1
2026-02-12T03:04:34Z,R18,0.020084753510366312,,,CPN1
2026-02-12T03:04:34Z,R19,0.002119718906171081,,,CPN1
2026-02-12T03:04:34Z,R20,0.0019546738962111774,,,CPN1
2026-02-12T03:04:34Z,C40,0.0019481269748736329,,,CPN1
2026-02-12T03:04:36Z,G01,0.0064013275039903955,,,CPN1
2026-02-12T03:04:36Z,G04,0.002393010934575787,,,CPN1
2026-02-12T03:04:36Z,G07,0.007519464827863774,,,CPN1
2026-02-12T03:04:36Z,G08,0.0016608189031198624,,,CPN1
2026-02-12T03:04:36Z,G09,0.0021784060920250667,,,CPN1
2026-02-12T03:04:36Z,G14,0.01887363143679048,,,CPN1
2026-02-12T03:04:36Z,G16,0.1919209051860187,,,CPN1
2026-02-12T03:04:36Z,G27,0.0033548834125524327,,,CPN1
2026-02-12T03:04:36Z,G31,0.02089462135334111,,,CPN1
2026-02-12T03:04:36Z,R06,0.0025905221915054682,,,CPN1
2026-02-12T03:04:36Z,R07,0.0018212475569167838,,,CPN1
2026-02-12T03:04:36Z,R08,0.007802584242737469,,,CPN1
2026-02-12T03:04:36Z,R09,0.003928657297592327,,,CPN1
2026-02-12T03:04:36Z,R10,0.014227549753070381,,,CPN1
2026-02-12T03:04:36Z,R16,0.030525847248862426,,,CPN1
2026-02-12T03:04:36Z,R18,0.02038789553670274,,,CPN1
2026-02-12T03:04:36Z,R19,0.0020960831547374823,,,CPN1
2026-02-12T03:04:36Z,R20,0.0019398774969701066,,,CPN1
2026-02-12T03:04:36Z,C40,0.0019840963764907716,,,CPN1
2026-02-12T03:04:36Z,G01,0.006397901236538037,,,CPN1
2026-02-12T03:04:36Z,G04,0.0024413127013755095,,,CPN1
2026-02-12T03:04:36Z,G07,0.007966480647790259,,,CPN1
2026-02-12T03:04:36Z,G08,0.001665833549928353,,,CPN1
2026-02-12T03:04:36Z,G09,0.0026084549527865776,,,CPN1
2026-02-12T03:04:36Z,G14,0.020462692824188597,,,CPN1
2026-02-12T03:04:36Z,G16,0.1956144047177232,,,CPN1
2026-02-12T03:04:36Z,G27,0.003459194024886185,,,CPN1
2026-02-12T03:04:36Z,G31,0.02222447635835067,,,CPN1
2026-02-12T03:04:36Z,R06,0.002552629963362437,,,CPN1
2026-02-12T03:04:36Z,R07,0.002115075903170129,,,CPN1
2026-02-12T03:04:36Z,R08,0.007264445437328565,,,CPN1
2026-02-12T03:04:36Z,R09,0.004609260700325269,,,CPN1
2026-02-12T03:04:36Z,R10,0.014769505918830637,,,CPN1
2026-02-12T03:04:36Z,R16,0.03182331410871468,,,CPN1
2026-02-12T03:04:36Z,R18,0.020388712747438066,,,CPN1
2026-02-12T03:04:36Z,R19,0.0020960831547374823,,,CPN1
2026-02-12T03:04:36Z,R20,0.0017993313487633534,,,CPN1
2026-02-12T03:04:36Z,C40,0.002077353102231157,,,CPN1
2026-02-12T03:04:38Z,G01,0.006148312638770409,,,CPN1
2026-02-12T03:04:38Z,G04,0.002149777205766176,,,CPN1
2026-02-12T03:04:38Z,G07,0.008256807860848791,,,CPN1
2026-02-12T03:04:38Z,G08,0.0016284828039380688,,,CPN1
2026-02-12T03:04:38Z,G09,0.0028281491575076344,,,CPN1
2026-02-12T03:04:38Z,G14,0.02176389299573205,,,CPN1
2026-02-12T03:04:38Z,G16,0.18533201189296336,,,CPN1
2026-02-12T03:04:38Z,G27,0.0033727833272366985,,,CPN1
2026-02-12T03:04:38Z,G31,0.02335499727528592,,,CPN1
2026-02-12T03:04:38Z,R06,0.0023489858255684496,,0.0011183560190419495,CPN1
2026-02-12T03:04:38Z,R07,0.0021722172864855373,,,CPN1
2026-02-12T03:04:38Z,R10,0.015351504496693405,,,CPN1
2026-02-12T03:04:38Z,R18,0.01990157820704071,,,CPN1
2026-02-12T03:04:38Z,R19,0.0018066256972218424,,0.0043232287999156955,CPN1
2026-02-12T03:04:38Z,R20,0.0017993313487633534,,0.0002958741890413538,CPN1
2026-02-12T03:04:38Z,C40,0.0020425823371003184,,,CPN1
2026-02-12T03:04:38Z,G01,0.005338515490577342,,,CPN1
2026-02-12T03:04:38Z,G04,0.0020825284302456574,,,CPN1
2026-02-12T03:04:38Z,G07,0.008163876793545827,,,CPN1
2026-02-12T03:04:38Z,G08,0.0014932659135804217,,,CPN1
2026-02-12T03:04:38Z,G09,0.0030108290901833795,,,CPN1
2026-02-12T03:04:38Z,G14,0.022087976918376436,,,CPN1
2026-02-12T03:04:38Z,G16,0.1752318313874225,,,CPN1
2026-02-12T03:04:38Z,G27,0.0034591823709820787,,,CPN1
2026-02-12T03:04:38Z,G31,0.02427618444835708,,,CPN1
2026-02-12T03:04:38Z,R06,0.002311159782316243,,0.0011184011817260409,CPN1
2026-02-12T03:04:38Z,R07,0.0021941945446508327,,,CPN1
2026-02-12T03:04:38Z,R10,0.015007022509936201,,,CPN1
2026-02-12T03:04:38Z,R18,0.01910988704594889,,,CPN1
2026-02-12T03:04:38Z,R19,0.001600613703719773,,0.004323218450445949,CPN1
2026-02-12T03:04:38Z,R20,0.0018108600499233598,,0.00029586708155035507,CPN1
2026-02-12T03:04:38Z,C40,0.0018293901980349773,,,CPN1
2026-02-12T03:04:40Z,G01,0.004795482149066635,,,CPN1
2026-02-12T03:04:40Z,G04,0.0021751407118873046,,,CPN1
2026-02-12T03:04:40Z,G07,0.007845852552630843,,,CPN1
2026-02-12T03:04:40Z,G08,0.0013344436448944382,,,CPN1
2026-02-12T03:04:40Z,G09,0.0031704400014192706,,,CPN1
2026-02-12T03:04:40Z,G14,0.021102410606719635,,,CPN1
2026-02-12T03:04:40Z,G16,0.17261835810371057,,,CPN1
2026-02-12T03:04:40Z,G27,0.0035199473157001564,,,CPN1
2026-02-12T03:04:40Z,G31,0.02372074831140185,,,CPN1
2026-02-12T03:04:40Z,R06,0.0024466863476763166,,0.0011183974181690332,CPN1
2026-02-12T03:04:40Z,R07,0.0021976511402714122,,,CPN1
2026-02-12T03:04:40Z,R10,0.014883876325915106,,,CPN1
2026-02-12T03:04:40Z,R18,0.018081535663340018,,,CPN1
2026-02-12T03:04:40Z,R19,0.0014713889397947601,,0.004323180502390213,CPN1
2026-02-12T03:04:40Z,R20,0.0018202606522980905,,0.00029583154409536136,CPN1
2026-02-12T03:04:40Z,C40,0.0017640384768476533,,,CPN1
2026-02-12T03:04:40Z,G01,0.00433519851864348,,,CPN1
2026-02-12T03:04:40Z,G04,0.002281492859332885,,,CPN1
2026-02-12T03:04:40Z,G07,0.007460556018488715,,,CPN1
2026-02-12T03:04:40Z,G08,0.0012704456262141283,,,CPN1
2026-02-12T03:04:40Z,G09,0.003219127179715006,,,CPN1
2026-02-12T03:04:40Z,G14,0.020028651828993483,,,CPN1
2026-02-12T03:04:40Z,G16,0.162509178327811,,,CPN1
2026-02-12T03:04:40Z,G27,0.0037751188703182607,,,CPN1
2026-02-12T03:04:40Z,G31,0.02254178508771637,,,CPN1
2026-02-12T03:04:40Z,R06,0.0029540933016417603,,0.0011184350537391094,CPN1
2026-02-12T03:04:40Z,R07,0.002132483322220106,,,CPN1
2026-02-12T03:04:40Z,R10,0.014630242473661698,,,CPN1
2026-02-12T03:04:40Z,R18,0.016808524887176473,,,CPN1
2026-02-12T03:04:40Z,R19,0.0015535956673169427,,0.0043231874020367095,CPN1
2026-02-12T03:04:40Z,R20,0.0017860714070672653,,0.00029555732089503526,CPN1
2026-02-12T03:04:40Z,C40,0.0018338271932410036,,,CPN1
2026-02-12T03:04:42Z,G01,0.00420488614445244,,,CPN1
2026-02-12T03:04:42Z,G04,0.0020930480764147458,,,CPN1
2026-02-12T03:04:42Z,G07,0.007129749878735813,,,CPN1
2026-02-12T03:04:42Z,G08,0.0012555758468488002,,,CPN1
2026-02-12T03:04:42Z,G09,0.0032526603879875974,,,CPN1
2026-02-12T03:04:42Z,G14,0.019812341934054695,,,CPN1
2026-02-12T03:04:42Z,G16,0.1356270902988517,,,CPN1
2026-02-12T03:04:42Z,G27,0.003939212278647581,,,CPN1
2026-02-12T03:04:42Z,G31,0.020199691863231818,,,CPN1
2026-02-12T03:04:42Z,R06,0.0034977024727216046,,0.0011184576350811552,CPN1
2026-02-12T03:04:42Z,R07,0.002202631912980457,,,CPN1
2026-02-12T03:04:42Z,R10,0.01369318275101013,,,CPN1
2026-02-12T03:04:42Z,R18,0.015268160936231128,,,CPN1
2026-02-12T03:04:42Z,R19,0.0015633028016556164,,0.004323204651152954,CPN1
2026-02-12T03:04:42Z,R20,0.0019694775564304146,,0.0002955608696837689,CPN1
2026-02-12T03:04:42Z,C40,0.0016487163560185995,,,CPN1
2026-02-12T03:04:42Z,G01,0.00420488614445244,,,CPN1
2026-02-12T03:04:42Z,G04,0.0017891926339405739,,,CPN1
2026-02-12T03:04:42Z,G07,0.007171227802064393,,,CPN1
2026-02-12T03:04:42Z,G08,0.001215776952178036,,,CPN1
2026-02-12T03:04:42Z,G09,0.003421504368483508,,,CPN1
2026-02-12T03:04:42Z,G14,0.01938329814170084,,,CPN1
2026-02-12T03:04:42Z,G16,0.12402086851455336,,,CPN1
2026-02-12T03:04:42Z,G27,0.0039735738724610515,,,CPN1
2026-02-12T03:04:42Z,G31,0.016579489605680845,,,CPN1
2026-02-12T03:04:42Z,R06,0.003702561001555109,,0.0011184839799802085,CPN1
2026-02-12T03:04:42Z,R07,0.002230457640414096,,,CPN1
2026-02-12T03:04:42Z,R10,0.0123116240530844,,,CPN1
2026-02-12T03:04:42Z,R18,0.013975991069322973,,,CPN1
2026-02-12T03:04:42Z,R19,0.0013497301459560415,,0.0043231494539809736,CPN1
2026-02-12T03:04:42Z,R20,0.0020704621113231837,,0.0002956105527260403,CPN1
2026-02-12T03:04:42Z,C40,0.0015703089823833883,,,CPN1
2026-02-12T03:04:44Z,G01,0.004126547282033979,,,CPN1
2026-02-12T03:04:44Z,G04,0.0016104958725006312,,,CPN1
2026-02-12T03:04:44Z,G07,0.007198749335140933,,,CPN1
2026-02-12T03:04:44Z,G08,0.0011717238686161698,,,CPN1
2026-02-12T03:04:44Z,G09,0.003780440957360452,,,CPN1
2026-02-12T03:04:44Z,G14,0.018157667983365145,,,CPN1
2026-02-12T03:04:44Z,G16,0.10929699537222869,,,CPN1
2026-02-12T03:04:44Z,G27,0.00403020494131485,,,CPN1
2026-02-12T03:04:44Z,G31,0.015146001123746628,,,CPN1
2026-02-12T03:04:44Z,R06,0.0038808263334847576,,0.0011185404333353228,CPN1
2026-02-12T03:04:44Z,R07,0.0021575985375874235,,,CPN1
2026-02-12T03:04:44Z,R10,0.01067383974757708,,,CPN1
2026-02-12T03:04:44Z,R18,0.012766923487232703,,,CPN1
2026-02-12T03:04:44Z,R19,0.0016530173002986272,,0.0043231287550414815,CPN1
2026-02-12T03:04:44Z,R20,0.0023377721102618614,,0.00029554312574010057,CPN1
2026-02-12T03:04:44Z,C40,0.0017633986756712594,,,CPN1
2026-02-12T03:04:44Z,G01,0.004014670855175207,,,CPN1
2026-02-12T03:04:44Z,G04,0.0016395513673247509,,,CPN1
2026-02-12T03:04:44Z,G07,0.007087130082771907,,,CPN1
2026-02-12T03:04:44Z,G08,0.0011229149585645789,,,CPN1
2026-02-12T03:04:44Z,G09,0.003780440957360452,,,CPN1
2026-02-12T03:04:44Z,G14,0.017260059148835542,,,CPN1
2026-02-12T03:04:44Z,G16,0.1117467274559357,,,CPN1
2026-02-12T03:04:44Z,G27,0.00403974113097492,,,CPN1
2026-02-12T03:04:44Z,G31,0.014361932003817425,,,CPN1
2026-02-12T03:04:44Z,R06,0.0038236479978273914,,0.0011185855960194142,CPN1
2026-02-12T03:04:44Z,R07,0.0019088807222890853,,,CPN1
2026-02-12T03:04:44Z,R10,0.008431031607761914,,,CPN1
2026-02-12T03:04:44Z,R18,0.012594043647599393,,,CPN1
2026-02-12T03:04:44Z,R19,0.001787066215553343,,0.004323177052566964,CPN1
2026-02-12T03:04:44Z,R20,0.0024559300300299185,,0.00029551473543023123,CPN1
2026-02-12T03:04:44Z,C40,0.0018691361182130704,,,CPN1
2026-02-12T03:04:46Z,G01,0.003960787490392114,,,CPN1
2026-02-12T03:04:46Z,G04,0.001708154357926367,,,CPN1
2026-02-12T03:04:46Z,G07,0.006634003439202318,,,CPN1
2026-02-12T03:04:46Z,G08,0.00100831631382533,,,CPN1
2026-02-12T03:04:46Z,G09,0.003929540251446825,,,CPN1
2026-02-12T03:04:46Z,G14,0.01522466827411777,,,CPN1
2026-02-12T03:04:46Z,G16,0.11611647339486761,,,CPN1
